date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,water_balance,cumulative_water_balance,aridity_index,temp_rolling_12m,precip_rolling_12m,SPI_12_z,SPEI_12_z
2006-09-01,23.033333333333335,28.35,18.46333333333333,27.3,132.88,588.96,17.426666666666666,5.5555963967900865,-105.58,-3752.830000000001,4.84963503649635,17.555872375832056,549.1,-0.5155247000690623,-0.30036751040074916
2006-10-01,21.06451612903226,26.719354838709677,16.448387096774194,12.299999999999999,110.23,480.69,15.899999999999999,3.5867791924890113,-97.93,-3850.7600000000007,8.889516129032259,17.698345494111624,523.8,-0.7271283796208599,-0.5579241358970857
2006-11-01,16.64,21.740000000000002,12.753333333333334,20.3,77.33,333.68,16.766666666666666,-0.8377369365432479,-57.03,-3907.790000000001,3.7906862745098033,17.94751216077829,454.5,-1.306738458393173,-1.1185941464103797
2006-12-01,12.019354838709678,15.570967741935483,9.316129032258065,122.7,44.9,231.92,18.92258064516129,-5.458382097833571,77.80000000000001,-3829.9900000000007,0.36563517915309446,18.07681323604711,497.1,-0.9504413536933091,-0.8453773848288293
2007-01-01,10.883870967741935,16.23548387096774,6.883870967741935,9.9,52.11,316.33,14.406451612903224,-6.593865968801314,-42.21,-3872.2000000000007,5.211,18.201813236047105,428.59999999999997,-1.52336040702525,-1.3086203036499258
2007-02-01,12.9,16.939285714285713,9.617857142857144,77.4,65.26,364.15,22.557142857142857,-4.577736936543248,12.14,-3860.060000000001,0.8420645161290323,18.465206093189966,410.7,-1.6730721012535965,-1.4788391741413762
2007-03-01,12.070967741935483,16.303225806451614,8.55483870967742,147.8,83.86,525.95,22.25483870967742,-5.406769194607765,63.94000000000001,-3796.120000000001,0.5670047329276537,18.36870071684588,535.8,-0.6267629980152644,-0.6212455557199054
2007-04-01,14.71,18.666666666666668,11.34,125.5,91.54,590.0,19.31,-2.7677369365432476,33.959999999999994,-3762.1600000000008,0.7288216560509555,18.202867383512544,624.0,0.11092255678586238,0.10642464118827366
2007-05-01,18.4741935483871,23.387096774193548,13.44516129032258,9.2,145.86,789.49,17.62258064516129,0.9964566118438505,-136.66000000000003,-3898.8200000000006,15.683870967741939,18.05905017921147,556.4,-0.45446909292565874,-0.36108922383788145
2007-06-01,21.529999999999998,26.43,16.613333333333333,0.0,158.42000000000002,812.53,18.126666666666665,4.052263063456749,-158.42000000000002,-4057.2400000000007,1584.2,17.921272401433693,554.3000000000001,-0.47203303470663716,-0.2530776132896706
2007-07-01,25.12258064516129,30.648387096774194,19.612903225806452,0.30000000000000004,194.54,854.7,18.364516129032257,7.6448437086180405,-194.23999999999998,-4251.4800000000005,486.34999999999997,17.80621863799283,554.6,-0.46952390016649764,-0.2288136870232518
2007-08-01,26.26451612903226,32.16451612903226,21.125806451612902,2.5999999999999996,179.98,743.35,18.63225806451613,8.78677919248901,-177.38,-4428.860000000001,66.65925925925926,17.892777777777777,555.3,-0.46366925290617184,-0.24236929889148037
2007-09-01,22.876666666666665,27.783333333333335,18.84,30.1,132.8,566.63,19.78666666666667,5.398929730123417,-102.70000000000002,-4531.56,4.397350993377484,17.879722222222224,558.1,-0.44025066386486567,-0.22454274081819395
